collegeName,program,degree,decision,semester,origin,gpa,gre,gre_v,gre_aw
Columbia University,Computer Science,Masters,Accepted,F20,American,,166,163,
Ryerson University,Computer Science,Masters,Accepted,F20,,,,,
Columbia University,Computer Science,Masters,Accepted,F20,American,3.55,158,165,4.00
Simon Fraser University,Computer Science,Masters,Other,F20,International,,,,
Columbia University,Computer Science,Masters,Accepted,F20,International,,,,
Columbia University,Computer Science,Masters,Accepted,F20,International,4.00,163,150,3.50
Northwestern University,Computer Science,Masters,Rejected,F20,International,,169,159,3.50
University Of Alberta (U Of A),Computer Science,Masters,Other,F20,International,3.80,164,156,4.50
Boston University,Computer Science,Masters,Accepted,F20,American,,168,154,3.50
Brandeis University,Computer Science,Masters,Rejected,F20,International,,,,
Columbia University,Computer Science,Masters,Accepted,F20,,3.40,169,161,4.00
Columbia University,Computer Science,Masters,Other,F20,,,,,
University Of Wisconsin-Madison,Computer Science,Masters,Rejected,F20,International,,,,
Simon Fraser University,Computer Science,Masters,Other,Spring,International,,,,
Simon Fraser University (SFU),Computer Science,Masters,Other,F20,International,,,,
UIUC,Computer Science,Masters,Rejected,F14,International,,166,158,4.00
North Carolina State University,Computer Science,Masters,Rejected,F14,International,,,,
Ohio-State University,Computer Science,Masters,Rejected,F14,International,2.19,160,148,3.00
University Of Maryland College Park,Computer Science,Masters,Rejected,F14,International,3.90,166,162,4.50
UBC,Computer Science,Masters,Accepted,F14,International,,,,
Northeastern University,Computer Science,Masters,Accepted,F14,American,3.80,154,158,5.00
University of Chicago,Computer Science,Masters,Rejected,F14,American,3.80,154,158,5.00
"University Of Maryland, College Park (UMD)",Computer Science,Masters,Rejected,F14,International,3.80,166,157,4.00
North Carolina State University,Computer Science,Masters,Rejected,F14,International,,,,
University of Maryland Global Campus,Computer Science,Masters,Rejected,F14,International,,,,
University Of Maryland - College Park,Computer Science,Masters,Rejected,F14,International,3.92,167,152,3.50
University Of Maryland - College Park,Computer Science,Masters,Rejected,F14,International,,,,
"University Of Maryland, College Park",Computer Science,Masters,Rejected,F14,International,,,,
KAUST,Computer Science,Masters,Accepted,F14,International,,,,
Penn State University,Computer Science,Masters,Rejected,F14,International,3.90,157,161,4.00
University Of Toronto,Computer Science,Masters,Rejected,F14,International,3.85,170,158,4.00
North Carolina State University (NCSU),Computer Science,Masters,Rejected,F14,International,3.20,167,151,3.50
University Of Toronto,Computer Science,Masters,Rejected,F14,International,,,,
University Of Illinois At Urbana-Champaign (UIUC),Computer Science,Masters,Rejected,F14,International,4.00,163,161,4.00
Toronto,Computer Science,Masters,Rejected,F14,,3.50,170,151,3.50
Georgia Institute of Technology,Computer Science,Masters,Rejected,F20,American,,,,
New York University (NYU) - Courant,Computer Science,Masters,Accepted,F20,International,3.80,166,165,4.00
New York University (NYU) - Courant,Computer Science,Masters,Accepted,F20,International,3.80,167,157,4.50
Georgia Tech,Computer Science,Masters,Other,F20,International,,,,
Georgia Tech,Computer Science,Masters,Other,F20,International,,,,
Georgia Tech,Computer Science,Masters,Other,F20,,,,,
Georgia Tech,Computer Science,Masters,Other,F20,International,,,,
Georgia Tech,Computer Science,Masters,Other,F20,International,,,,
Georgia Tech,Computer Science,Masters,Other,F20,International,,,,
"University Of Maryland, College Park (UMD)",Computer Science,Masters,Other,F20,International,,,,
Georgia Tech,Computer Science,Masters,Other,F20,International,,,,
University Of Texas At Austin,Computer Science,Masters,Rejected,F20,International,3.30,167,163,4.00
New York University (NYU) - Courant,Computer Science,Masters,Other,F20,International,,170,159,4.00
"University Of Maryland, College Park (UMD)",Computer Science,Masters,Other,F20,,,,,
University Of Maryland (College Park),Computer Science,Masters,Other,F20,International,,,,
New York University (NYU) - Courant,Computer Science,Masters,Other,F20,International,,,,
Georgia Institute Of Technology (Gatech Georgia Tech),Computer Science,Masters,Other,F20,,,,,
University Of Maryland (College Park),Computer Science,Masters,Rejected,F20,International,,,,
University Of Maryland (College Park),Computer Science,Masters,Rejected,F20,International,,,,
University Of Maryland (College Park),Computer Science,Masters,Rejected,F20,International,,,,
Stanford University,Computer Science,Masters,Rejected,F13,American,3.33,170,167,5.50
Stanford University,Computer Science,Masters,Accepted,F13,International,,,,
Stanford University,Computer Science,Masters,Rejected,F13,,,,,
Stanford,Computer Science,Masters,Rejected,F13,International,,,,
Stanford,Computer Science,Masters,Accepted,F13,American,3.80,92,77,4.50
Stanford,Computer Science,Masters,Accepted,F13,American,3.81,170,169,5.00
University Of Stanford,Computer Science,Masters,Accepted,F13,International,3.90,,,
University Of Texas At Austin,Computer Science,Masters,Rejected,F13,International,,,,
Stanford University,Computer Science,Masters,Accepted,F13,International,3.76,170,150,3.00
Stanford University,Computer Science,Masters,Accepted,F13,International,3.76,150,170,3.00
Stanford University,Computer Science,Masters,Rejected,F13,American,3.30,166,168,5.00
Stanford,Computer Science,Masters,Rejected,F13,International,3.89,168,165,5.50
Stanford,Computer Science,Masters,Accepted,F13,International,,,,
Stanford,Computer Science,Masters,Rejected,F13,International,,,,
Stanford University,Computer Science,Masters,Accepted,F13,American,3.85,162,164,4.50
Stanford University,Computer Science,Masters,Accepted,F13,International,3.68,570,800,5.00
"University Of California, Irvine",Computer Science,Masters,Accepted,F13,International,3.47,161,151,3.50
Stanford University,Computer Science,Masters,Rejected,F13,International,,,,
Stanford,Computer Science,Masters,Rejected,F13,American,,,,
Stanford,Computer Science,Masters,Rejected,F13,American,3.87,,,
Dartmouth College,Computer Science,Masters,Accepted,F14,International,,,,
University of Southern California,Computer Science,Masters,Accepted,F14,International,,,,
San Jose State University,Computer Science,Masters,Rejected,F14,International,3.25,164,146,3.00
University At Buffalo,Computer Science,Masters,Rejected,F14,International,3.25,164,146,3.00
SJSU,Computer Science,Masters,Rejected,F14,International,,,,
Rice University,Computer Science,Masters,Rejected,F14,International,,,,
UCSD,Computer Science,Masters,Other,F14,International,,,,
University Of Minnesota,Computer Science,Masters,Accepted,F14,International,3.73,170,153,3.50
Georgia Tech,Computer Science,Masters,Other,F14,International,3.75,160,165,4.50
Georgia Tech,Computer Science,Masters,Rejected,F14,,,,,
Northwestern,Computer Science,Masters,Accepted,F13,International,3.80,150,160,3.50
